시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자,
영양공설시장,상설장,경상북도 영양군 영양읍 시장5길 4,,매일+4일+9일,36.664346,129.115975,69,"농산물, 생필품, 수산물, 잡화 등",영양사랑상품권온누리상품권,,Y,Y,1918,054-680-6314,2018-02-20,
반구시장,상설장,울산광역시 중구 반구정14길 13(반구동),울산광역시 중구 반구동 448-9,매일,35.5582648,129.3457993,153,"음식점, 주류, 잡화 등","온누리상품권, 전자상품권",,Y,Y,,052-297-2387,2018-02-20,
우정전통시장,상설장+5일장,울산광역시 중구 당산5길 9,울산광역시 중구 우정동 284-23,"매일+5일, 10일",35.5548812,129.3100508,75,"농수축산물, 식당, 생활잡화 등",온누리상품권,,Y,N,,,2018-02-20,
울산시장,상설장,울산광역시 중구 구교로 35(학산동),울산광역시 중구 학산동 47-10,매일,35.5554665,129.3283846,297,"한복, 침구류, 그릇, 생선, 잡화 등","온누리상품권, 전자상품권",,Y,Y,,052-296-1864,2018-02-20,
성남프라자,상설장,울산광역시 중구 중앙3길6(성남동),울산광역시 중구 성남동 190-239,매일,35.5545103,129.3175359,70,"한복, 침구류, 잡화 등","온누리상품권, 전자상품권",,Y,Y,,052-243-5678,2018-02-20,
선우시장,상설장,울산광역시 중구 곽남14길 37(남외동),울산광역시 중구 남외동 385-3,매일,35.5713199,129.3420992,84,"농수축산물, 과일류, 반찬류, 생활잡화 등","온누리상품권, 전자상품권",,Y,N,,,2018-02-20,
병영시장,상설장,울산광역시 중구 병영로 14(남외동),울산광역시 중구 남외동 257-1,매일,35.5705654,129.3463072,51,"농수산물, 과일류, 반찬류, 생활잡화 등",온누리상품권,,Y,N,,052-294-4929,2018-02-20,
역전시장,상설장,울산광역시 중구 구역전길 14(학성동),울산광역시 중구 학성동 436-20,매일,35.5561541,129.3284797,36,농수산물,온누리상품권,,Y,N,,052-296-8323,2018-02-20,
우정시장,상설장,울산광역시 중구 당산5길 10(우정동),울산광역시 중구 우정동 285-1,매일,35.5545331,129.3100727,15,의류 등,온누리상품권,,Y,N,,052-243-0262,2018-02-20,
학성종합시장,상설장,울산광역시 중구 새치로 28(학성동),울산광역시 중구 학성동 467-1,매일,35.5544211,129.3320577,9,"식료품, 식당, 잡화",,,Y,N,,052-297-4354,2018-02-20,
태화종합시장,상설장+5일장,울산광역시 중구 화진길 20-4(태화동),울산광역시 중구 태화동 36-13,"매일+5일, 10일",35.55420094,129.3074139,221,"농수축산물, 식료품, 잡화 등","온누리상품권, 전자상품권",,Y,Y,,052-211-7804,2018-02-20,
신울산종합시장,상설장,울산광역시 중구 서원6길 11(반구동),울산광역시 중구 반구동 100-1,매일,35.5612392,129.3373679,30,"농수축산물, 식료품, 잡화 등","온누리상품권, 전자상품권",,Y,Y,,052-297-2088,2018-02-20,
학성새벽시장,상설장,울산광역시 중구 새벽시장3길 21(학성동),울산광역시 중구 학성동 359-2,매일,35.5564943,129.3328475,197,"채소, 과일, 생선, 식자재 등","온누리상품권, 전자상품권",,Y,Y,,052-298-3619,2018-02-20,
중앙전통시장,상설장,울산광역시 중구 중앙시장길 2(옥교동),울산광역시 중구 옥교동 275-4,매일,35.5551774,129.3223004,324,"의류, 잡화, 곰장어, 식료품 등","온누리상품권, 전자상품권",,Y,Y,,052-246-6660,2018-02-20,
구역전시장,상설장,울산광역시 중구 구역전길 20(학성동),울산광역시 중구 학성동 434-7,매일,35.5570211,129.3284786,167,"농수축산물, 의류, 잡화 등","온누리상품권, 전자상품권",,Y,Y,,052-297-9310,2018-02-20,
서동시장,상설장,울산광역시 중구 동천2길 17(서동),울산광역시 중구 서동 39-3,매일,35.5819632,129.3465532,79,"농수축산물, 의류, 잡화 등","온누리상품권, 전자상품권",,Y,N,,052-293-7894,2018-02-20,
옥골시장,상설장,울산광역시 중구 중앙시장길 17-7(옥교동),울산광역시 중구 옥교동 125-13,매일,35.5552241,129.3229718,79,"농수축산물, 떡, 폐백, 죽 등","온누리상품권, 전자상품권",,Y,Y,,052-242-0015,2018-02-20,
구역전전통시장,상설장,울산광역시 중구 구역전길 8(학성동),울산광역시 중구 학성동 61-9,매일,35.5559093,129.3279529,45,"농수축산물, 식자재, 잡화 등",온누리상품권,,N,Y,,,2018-02-20,
월봉시장,상설,울산광역시 동구 화정6길 16(화정동),울산광역시 동구 화정동 640-18,매일,35.494631,129.425761,122,"의류, 과일, 농수축산물, 잡화 등",온누리상품권,없음,Y,Y,1980,052-234-8997,2018-01-01,
동울산종합시장,상설,울산광역시 동구 진성14길 77(전하동),울산광역시 동구 전하동 661-1,매일,35.509052,129.425456,112,"의류, 가구, 농수축산물, 잡화 등",온누리상품권,없음,Y,Y,1983,052-232-7337,2018-01-01,
대송농수산물시장,상설,울산광역시 동구 대송8길 6(화정동),울산광역시 동구 화정동 171-4,매일,35.499354,129.420604,120,"과일, 농수축산물, 잡화 등",온누리상품권,없음,Y,Y,1991,052-252-7344,2018-01-01,
전하시장,상설,울산광역시 동구 녹수7길 32(전하동),울산광역시 동구 전하동 450-32,매일,35.513947,129.430723,94,"의류, 농수축산물, 잡화 등",온누리상품권,없음,Y,Y,1999,,2018-01-01,
남목시장,상설,울산광역시 동구 남목17길 9(동부동),울산광역시 동구 동부동 310-2,매일,35.542916,129.427408,23,"의류, 농수축산물, 잡화 등",온누리상품권,없음,Y,Y,1978,,2018-01-01,
동부시장,상설,울산광역시 동구 남목17길 16(동부동),울산광역시 동구 동부동 310-15,매일,35.542814,129.428232,40,"의류, 농수축산물, 잡화 등",온누리상품권,없음,Y,Y,1979,,2018-01-01,
남목시티시장,상설,울산광역시 동구 남목18길 8(동부동),울산광역시 동구 동부동 303-3,매일,35.542936,129.428626,53,"의류, 농수축산물, 잡화 등",온누리상품권,없음,Y,Y,2013,,2018-01-01,
밤고개시장,상설장,대구광역시 서구 서대구로8길 64,대구광역시 서구 내당1동 13-1,매일,35.8620463734,128.563633029,161,,온누리상품권,,Y,N,1981,053-552-5070,2018-02-20,
새길시장,상설장,대구광역시 서구 서구 달서로6길 3,"대구광역시 서구 내당2,3동 968",매일,35.8649155678,128.571647074,76,,온누리상품권,,Y,N,1970,053-571-2459,2018-02-20,
원고개시장,상설장,대구광역시 서구 북비산로65길 6-3,대구광역시 서구 비산1동 569-2외,매일,35.8801882891,128.569158428,130,,온누리상품권,,Y,Y,2011,053-556-5573,2018-02-20,
서부시장,상설장,대구광역시 서구 달서로26길 7-2,"대구광역시 서구 비산2,3동 434",매일,35.8733090095,128.57204759,504,,온누리상품권,,Y,Y,1972,053-567-1544,2018-02-20,
만평시장,상설장,대구광역시 서구 달서천로41길 86,대구광역시 서구 비산7동 1247-1,매일,35.8883926134,128.562777768,73,,온누리상품권,,Y,N,1977,053-357-7171,2018-02-20,
서구시장,상설장,대구광역시 서구 국채보상로45길 33,대구광역시 서구 평리3동 1085-1,매일,35.8739365194,128.555691086,96,,온누리상품권,,Y,N,1979,053-567-0395,2018-02-20,
대평리시장,상설장,대구광역시 서구 문화로49길 25,대구광역시 서구 평리3동 676-7,매일,35.878010921,128.558933106,149,,온누리상품권,,Y,N,1981,053-567-9106,2018-02-20,
신평리시장,상설장,대구광역시 서구 국채보상로52길 33,대구광역시 서구 평리4동 1205,매일,35.868097144,128.560687401,162,,온누리상품권,,Y,Y,1980,053-566-9278,2018-02-20,
중평시장,상설장,대구광역시 서구 서대구로17길 16,대구광역시 서구 평리4동 1437-5,매일,35.8653698638,128.553907262,56,,온누리상품권,,Y,N,1982,053-566-6301,2018-02-20,
중리시장,상설장,대구광역시 서구 국채보상로31길 12,대구광역시 서구 평리5동 1538-3,매일,35.8702786703,128.547816338,143,,온누리상품권,,Y,N,1982,053-565-1653,2018-02-20,
이현시장,상설장,대구광역시 서구 문화로33길 24,대구광역시 서구 평리6동 606-8,매일,35.8769504684,128.550634542,38,,온누리상품권,,Y,N,1983,053-557-9437,2018-02-20,
원대신시장,상설장,대구광역시 서구 달서로54길 6,대구광역시 서구 원대3가 1434-4,매일,35.8855361207,128.57476976,56,,온누리상품권,,Y,Y,1968,053-357-2426,2018-02-20,
원대시장,상설장,대구광역시 서구 달서천로83길 13,대구광역시 서구 원대3가 1223-13,매일,35.8831031952,128.578052431,52,,온누리상품권,,Y,N,1976,053-357-3152,2018-02-20,
두류1번가,상설장,대구광역시 서구 달구벌대로 지하1827,대구광역시 서구 내당동 1290외,매일,35.8601755517,128.564743142,285,,온누리상품권,,Y,N,2005,053-652-8980,2018-02-20,
㈜중앙 메가프라자,상설장,대전광역시 동구 중앙로 200번길 99,대전광역시 동구 원동 42-1,매일,36.326879,127.433921,128,"한복,의류,침구,도서 등",온누리상품권,,Y,Y,1973,042-253-1550,2018-02-19,
신중앙,상설장,대전광역시 동구 중앙로 200번길 85,대전광역시 동구 원동 40-1,매일,36.327541,127.433653,131,"옷감,의류,도서,한복 등",온누리상품권,,Y,Y,1975,042-256-2157,2018-02-19,
중앙도매,상설장,대전광역시 동구 중앙로 200번길 99번지 일원,대전광역시 동구 원동 42-1,매일,36.326922,127.433911,128,"의류, 침구, 한복 등",온누리상품권,,Y,Y,1973,042-257-7093,2018-02-19,
중앙종합,상설장,대전광역시 동구 중앙로 200번길 45,대전광역시 동구 원동 56-1,매일,36.329051,127.432671,121,"의류, 신발, 커튼 등",온누리상품권,,Y,Y,1985,042-257-3713,2018-02-19,
자유도매,상설장,대전광역시 동구 중앙로 200번길 45,대전광역시 동구 원동 56-1,매일,36.329051,127.432671,103,"그릇, 이불, 한복, 의류 등",온누리상품권,,Y,Y,1981,042-221-0711,2018-02-19,
대전도매,상설장,대전광역시 동구 대전로 791번길 3,대전광역시 동구 중동 76-1,매일,36.330401,127.432882,125,"의류, 잡화, 가정 용품 등",온누리상품권,,Y,Y,1975,042-257-2410,2018-02-19,
중앙상가,상설장,대전광역시 동구 대전로 797번길 37,대전광역시 동구 중동 28-1,매일,36.330108,127.430938,443,"식당, 의류, 잡화 등",온누리상품권,,Y,Y,1962,042-256-0638,2018-02-19,
전통중앙도매,상설장,대전광역시 동구 중앙로 204번길 28-1,대전광역시 동구 중동 86-4,매일,36.329782,127.432416,120,"생선, 채소, 과일 등",온누리상품권,,Y,Y,2011,042-222-2989,2018-02-19,
대전상가,상설장,대전광역시 동구 충무로 185,대전광역시 동구 인동 52-1,매일,36.321909,127.436582,62,"쌀, 식당, 잡화 등",온누리상품권,,N,N,1973,042-284-6562,2018-02-19,
인동시장,상설장,대전광역시 동구 대전천동로 450,대전광역시 동구 인동 53-1,매일,36.322445,127.436273,61,"쌀, 식당 등",온누리상품권,,N,N,1973,042-282-1010,2018-02-19,
신도시장,상설장,대전광역시 동구 흥룡로 37번길 9,대전광역시 동구 가양동 39-11,매일,36.349309,127.447092,85,"채소, 생선, 건어물, 의류, 잡화 등",온누리상품권,,Y,Y,1982,042-622-7078,2018-02-19,
용운시장,상설장,대전광역시 동구 용운로 170,대전광역시 동구 용운동 305-6,매일,36.327831,127.461011,80,"식당, 채소, 잡화 등",온누리상품권,,Y,Y,1989,042-283-4698,2018-02-19,
가양시장,상설장,대전광역시 동구 매봉로 18,대전광역시 동구 가양동 434 가양시장,매일,36.346511,127.443218,15,"생·식품, 의류 등",온누리상품권,,Y,Y,1979,042-672-3783,2018-02-19,
역전시장 상점가,상설장,대전광역시 동구 역전시장길 48,대전광역시 동구 정동 1-227,매일,36.330135,127.434127,110,"의류, 휴대폰, 귀금속, 신발 등",온누리상품권,,N,N,1950,042-256-9915,2018-02-19,
홍도시장 상점가,상설장,대전광역시 동구 홍도로 9번길 20,대전광역시 동구 홍도동 71-2,매일,36.347151,127.429144,90,"생·식품, 의류 등",온누리상품권,,Y,Y,2016,042-672-8955,2018-02-19,
역전지하상점가,상설장,대전광역시 동구 대전로 797번길 41,대전광역시 동구 중동 28-53,매일,36.330033,127.430857,213,"생선, 채소, 과일 등",온누리상품권,,Y,Y,1980,042-221-3628,2018-02-19,
오류전통시장,상설장,대전광역시 중구 계백로 1691-10,대전광역시 중구 오류동 164-1,매일,36.321717,127.407813,61,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,N,N,1985,042-523-6780,2018-02-19,
태평전통시장,상설장,대전광역시 중구 수침로 55번길 56,대전광역시 중구 태평동 327-3,매일,36.325405,127.397651,142,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,http://www.taepyung-market.kr/,Y,Y,1980,042-525-4388,2018-02-19,
유천전통시장,상설장,대전광역시 중구 문화로 105번길 113,대전광역시 중구 유천동 303-10,매일,36.317214,127.395493,79,"채소, 과일, 식당, 정육 등",온누리상품권,,Y,Y,1982,042-584-1670,2018-02-19,
그린상점가,상설장,전라북도 익산시 동서로19길 99(신동),전라북도 익산시 신동 789-6,상점가,35.9627720,126.9582040,81,"커피숍, 음식점 등",,,Y,Y,,,2018-01-02,
문창전통시장,상설장,대전광역시 중구 대전천 서로 279,대전광역시 중구 문창동 364-12,매일,36.315598,127.438317,269,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,Y,Y,1967,042-272-8903,2018-02-19,
산성전통시장,상설장,대전광역시 중구 대둔산로 408번길 28,대전광역시 중구 산성동 284-1,매일,36.306131,127.387105,75,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,Y,Y,1991,042-583-3128,2018-02-19,
용두전통시장,상설장,대전광역시 중구 계룡로 881번길 53,대전광역시 중구 용두동 12-2,매일,36.323396,127.414651,51,"채소, 과일, 식당, 잡화 등",온누리상품권,,N,N,1962,000-000-0000,2018-02-19,
부사전통시장,상설장,대전광역시 중구 대종로 316번길 16,대전광역시 중구 부사동 148-6,매일,36.314117,127.435381,72,"채소, 과일, 식당, 정육 등",온누리상품권,,Y,Y,1990,042-221-6664,2018-02-19,
중앙로지하상점가,상설장,대전광역시 중구 중앙로 지하 145,대전광역시 중구 은행동 216 중앙로역,매일,36.328666,127.425383,602,"의류, 휴대폰, 액세서리, 신발, 식음료(먹거리), 생활용품 등",온누리상품권,,Y,Y,1990,042-252-2064,2018-02-19,
은행동상점가,상설장,대전광역시 중구 중교로 83,대전광역시 중구 은행동 170-31,매일,36.327301,127.428506,297,"식당, 의류, 액세서리 등",온누리상품권,,Y,Y,1970,042-226-9100,2018-02-19,
문화예술의거리대흥동상점가,상설장,대전광역시 중구 중앙로 138번길 30,대전광역시 중구 대흥동 215,매일,36.327255,127.425287,61,"생필품, 요식업 등",온누리상품권,,Y,Y,1990,042-226-8252,2018-02-19,
오류특화상점가,상설장,대전광역시 중구 계룡로 874번길 12,대전광역시 중구 오류동 149-29,매일,36.323588,127.410468,61,요식업 등,온누리상품권,,Y,Y,1998,042-256-8106,2018-02-19,
중촌맞춤상점가,상설장,대전광역시 중구 동서대로 1421번길33,대전광역시 중구 중촌동 411-5,매일,36.336311,127.412516,50,"생필품, 의류 등",온누리상품권,,Y,Y,1998,042-257-2630,2018-02-19,
충무자동차상점가,상설장,대전광역시 중구 충무로 122-1,대전광역시 중구 대사동 69-46,매일,36.318798,127.430491,70,"서비스, 자동차용품 등",온누리상품권,,Y,Y,1999,042-256-7553,2018-02-19,
한민시장,상설장,대전광역시 서구 가장동94,대전광역시 서구 괴정동 88-6,매일,36.334685,127.384284,240,"생필품,농수산물 등",온누리상품권,,Y,Y,1982,042-522-9094,2018-02-19,
도마큰시장,상설장,대전광역시 서구 도마2길39,대전광역시 서구 도마동 134-40,매일,36.314918,127.381379,494,"생필품,의류,농수산물 등",온누리상품권,,Y,Y,1970,042-532-8883,2018-02-19,
가수원상점가,상설장,대전광역시 서구 벌곡로1369-22,대전광역시 서구 가수원동 768-10,매일,36.303417,127.352632,92,"생필품,가정용품 등",온누리상품권,,Y,Y,2007,042-541-1845,2018-02-19,
둔산3동상점가,상설장,대전광역시 서구 둔산로206,대전광역시 서구 둔산동 1814,매일,36.351267,127.396715,698,"생필품,요식업 등",온누리상품권,,Y,Y,1991,042-487-8439,2018-02-19,
유성시장,5일장,대전광역시 유성구 유성대로 730번길 24,대전광역시 유성구 장대동 191-7,5일,36.357719,127.333944,400,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,1916,042-822-2472,2018-02-19,
